"tweet_id","tag"
"881175291564924929","AUSPOL"
"881175291564924929","FUCKED"
"881175347584090112","संस्कृति_रक्षक_संत"
"881176176214945792","संस्कृति_रक्षक_संत"
"881176308352516098","WorldNoTobaccoDay"
"881176464225435648","संस्कृति_रक्षक_संत"
"881177043014234112","Homosexuality"
"881177043014234112","WTF"
"881177043014234112","FuckChina"
"881177217988014081","संस्कृति_रक्षक_संत"
"881177369075228672","संस्कृति_रक्षक_संत"
"881177543172214784","संस्कृति_रक्षक_संत"
"881177682540732418","DeppFan"
"881177824983482368","संस्कृति_रक्षक_संत"
"881178602573885440","संस्कृति_रक्षक_संत"
"881178628242976769","संस्कृति_रक्षक_संत"
"881178702901420032","संस्कृति_रक्षक_संत"
"881178739161182208","संस्कृति_रक्षक_संत"
"881178851589607424","संस्कृति_रक्षक_संत"
"881178890311393281","WorldNoTobaccoDay"
"881178991792672769","संस्कृति_रक्षक_संत"
"881179005986025472","WorldNoTobaccoDay"
"881179741503471616","संस्कृति_रक्षक_संत"
"881180126162976768","संस्कृति_रक्षक_संत"
"881180548827361280","संस्कृति_रक्षक_संत"
"881180602602577920","painkiller"
"881180602602577920","addiction"
"881180602602577920","addicted"
"881180602602577920","BrokenHome"
"881180602602577920","abandoned"
"881180602602577920","drug"
"881180602602577920","Lost"
"881180602602577920","badparenting"
"881180853761593344","cop"
"881180853761593344","AmazonUK"
"881180853761593344","thriller"
"881180853761593344","asmsg"
"881180853761593344","pdf1"
"881180966508785664","संस्कृति_रक्षक_संत"
"881180991829794816","संस्कृति_रक्षक_संत"
"881181008829104128","संस्कृति_रक्षक_संत"
"881181190677549061","Addicts"
"881181281580716032","संस्कृति_रक्षक_संत"
"881182472536555521","संस्कृति_रक्षक_संत"
"881183440489644032","cop"
"881183440489644032","AmazonUK"
"881183440489644032","thriller"
"881183440489644032","asmsg"
"881183440489644032","pdf1"
"881184829512888320","संस्कृति_रक्षक_संत"
"881184949738643456","संस्कृति_रक्षक_संत"
"881185198825545728","संस्कृति_रक्षक_संत"
"881185420733800450","संस्कृति_रक्षक_संत"
"881185863970979840","संस्कृति_रक्षक_संत"
"881186202728230912","संस्कृति_रक्षक_संत"
"881187266789388288","FAKeNews"
"881187421588779008","FAKeNews"
"881188378183573506","संस्कृति_रक्षक_संत"
"881188659067748356","संस्कृति_रक्षक_संत"
"881189590647808000","संस्कृति_रक्षक_संत"
"881190066730790916","VR"
"881190066730790916","VirtualReality"
"881190222989594625","संस्कृति_रक्षक_संत"
"881190275015745537","VR"
"881190275015745537","VirtualReality"
"881190568419889152","संस्कृति_रक्षक_संत"
"881190619229671424","संस्कृति_रक्षक_संत"
"881190665769676800","संस्कृति_रक्षक_संत"
"881190683930902528","संस्कृति_रक्षक_संत"
"881190714163515392","संस्कृति_रक्षक_संत"
"881190814390652928","संस्कृति_रक्षक_संत"
"881190875744927744","संस्कृति_रक्षक_संत"
"881191115612880897","cop"
"881191115612880897","AmazonUK"
"881191115612880897","thriller"
"881191115612880897","asmsg"
"881191115612880897","pdf1"
"881191913289916417","DrRedLawhern"
"881191913289916417","opioids"
"881194080700583936","संस्कृति_रक्षक_संत"
"881194388277407745","संस्कृति_रक्षक_संत"
"881194566472392705","संस्कृति_रक्षक_संत"
"881194889580564480","WorldNoTobaccoDay"
"881195571004014592","संस्कृति_रक्षक_संत"
"881195870909218817","संस्कृति_रक्षक_संत"
"881196153668341760","संस्कृति_रक्षक_संत"
"881196203169468416","संस्कृति_रक्षक_संत"
"881196317556473859","संस्कृति_रक्षक_संत"
"881196372367724545","संस्कृति_रक्षक_संत"
"881196418161102848","संस्कृति_रक्षक_संत"
"881196479653834752","संस्कृति_रक्षक_संत"
"881196530761437186","संस्कृति_रक्षक_संत"
"881196604472033280","संस्कृति_रक्षक_संत"
"881196710562861057","संस्कृति_रक्षक_संत"
"881197232078426113","tj"
"881197232078426113","thevoice"
"881197232078426113","okc"
"881197232078426113","detroit"
"881197232078426113","pa"
"881197232078426113","tx"
"881197232078426113","co"
"881197232078426113","bc"
"881197232078426113","il"
"881197469953961990","संस्कृति_रक्षक_संत"
"881197724120612865","WorldNoTobaccoDay"
"881199298196549632","संस्कृति_रक्षक_संत"
"881200459385495552","संस्कृति_रक्षक_संत"
"881200670476455936","संस्कृति_रक्षक_संत"
"881202297468006400","alcohol"
"881202297468006400","drug"
